Type,Count,,,,,
Weekend,7,,,,,
Weekend,12,,,,,
Weekend,11,,,,,
Weekend,12,,,,,
Weekend,12,,,,,
Weekend,17,,,,,
Weekend,17,,,,,
Weekend,18,,,,,
Weekend,20,,,,,
Weekend,17,,,,,
Weekday,20,,,,,
Weekday,30,,,,,
Weekday,22,,,,,
Weekday,20,,,,,
Weekday,20,,,,,
Weekday,17,,,,,
Weekday,21,,,,,
Weekday,26,,,,,
Weekday,22,,,,,
Weekday,30,,,,,
Weekday,36,,,,,
Weekday,15,,,,,
Weekday,30,,,,,
Weekday,27,,,,,
Weekday,22,,,,,
Weekday,23,,,,,
Weekday,18,,,,,
Weekday,24,,,,,
Weekday,28,,,,,
Weekday,23,,,,,
Weekday,12,,,,,
